DATA;HORA;MUSICA
01/08/2024;05:20;FELIPE AMORIM - AMOR PARA RECOMEÇAR
01/08/2024;05:20;MURILO HUFF - BOCA ENGANADA
01/08/2024;05:20;MATHEUS & KAUAN feat. MARI FERNANDEZ - NÃO VITALÍCIO
01/08/2024;05:20;DILSINHO feat ANA CASTELA - PASSANDO A MÃO
01/08/2024;05:20;GUSTTAVO LIMA - FICHA LIMPA
01/08/2024;05:20;DILSINHO - DIFERENTÃO
01/08/2024;05:40;GUILHERME E BENUTO ft. MATHEUS & KAUAN - ESSE B.O É MEU
01/08/2024;05:40;ZÉ NETO E CRISTIANO - ALÔ AMBEV
01/08/2024;05:40;ANA CASTELA - MINHA HERANÇA
01/08/2024;05:40;JORGE E MATEUS - SE EU CHORAR
01/08/2024;05:40;ANA CASTELA  ALOK  HUNGRIA - LUA
01/08/2024;05:40;NADSON O FERINHA - TIVE QUE BATER PALMA
01/08/2024;05:40;MARÍLIA MENDONÇA - TENTATIVAS
01/08/2024;06:00;MATHEUS FERNANDES  LUAN SANTANA - DUAS CAMAS
01/08/2024;06:00;ZÉ NETO E CRISTIANO - LONG NECK
01/08/2024;06:00;MATHEUS E KAUAN - VOCÊ NÃO TÁ PREPARADA
01/08/2024;06:00;JORGE & MATEUS - INESPERADO
01/08/2024;06:00;MARI FERNANDEZ - VAI VIVER
01/08/2024;06:00;MATHEUS E KAUAN - CONSÓRCIO
01/08/2024;06:00;GUSTTAVO LIMA feat ANA CASTELA - CANUNDINHO
01/08/2024;06:20;DIEGO E VICTOR HUGO - BEM MAIS QUE EU
01/08/2024;06:20;MÁRCIA FELLIPE - A MULHER MAIS FODA DO BRASIL
01/08/2024;06:20;Christopher - Hope This Song Is For You
01/08/2024;06:20;HENRIQUE E JULIANO - SEU PERFIL
01/08/2024;06:20;MELIM - OUVI DIZER
01/08/2024;06:20;SIMONE MENDES - PIOR PARTE
01/08/2024;06:20;LAUANA PRADO - CHORADA
01/08/2024;06:40;XAND AVIÃO feat SIMONE MENDES - PRIMEIRO PASSO
01/08/2024;06:40;ZÉ NETO e CRISTIANO - DEU MORAL
01/08/2024;06:40;SORRISO MAROTO  LUDMILLA  BELO - AINDA GOSTO DE VOCÊ-JÁ
01/08/2024;06:40;MAIARA E MARAISA - MEDO BOBO
01/08/2024;06:40;GUSTTAVO LIMA - SE
01/08/2024;06:40;NADSON O FERINHA - POSTA AÍ
01/08/2024;06:40;JOÃO BOSCO & VINICIUS  GUSTAVO MIOTO - DOCINHO DE FEST
01/08/2024;07:00;MILANE HORA - PRIMEIRO EU SEGUNDO EU
01/08/2024;07:00;WESLEY SAFADÃO - ALÔ AMOR
01/08/2024;07:00;LUAN SANTANA - EU SOU SENTIMENTAL
01/08/2024;07:00;BERG GONZAGA - SE EU NÃO TIVESSE
01/08/2024;07:00;DIEGO FACO - GIN DE FRUTA (REMIX)
01/08/2024;07:00;MURILO HUFF - MEU ANJO - É AMOR DEMAIS
01/08/2024;07:20;MÁRCIA FELLIPE - A MULHER MAIS FODA DO BRASIL
01/08/2024;07:20;PEDRO SAMPAIO - POCPOC
01/08/2024;07:20;SEU DESEJO - CAMA DE SOLTEIRO
01/08/2024;07:20;GUSTTAVO LIMA & WESLEY SAFADÃO - OI VIDA
01/08/2024;07:20;DIEGO E VICTO HUGO - CALAFRIO part. HENRIQUE E JULIANO
01/08/2024;07:20;ZE NETO E CRISTIANO - ESTADO DECADENTE
01/08/2024;07:20;ANAVITÓRIA  JORGE & MATEUS - GALERIA DO TEMPO
01/08/2024;07:40;MARA PAVANELLY - NÃO PASSA DE EX
01/08/2024;07:40;ZÉ NETO E CRISTIANO feat ANA CASTELA - FOI INTENSO
01/08/2024;07:40;THIAGO E SAMUEL feat SIMONE MENDES - AMOR DIFERENTE
01/08/2024;07:40;JORGE & MATEUS - SÓ VOCÊ E EU
01/08/2024;07:40;MARCOS e BELUTTI  NADOSN - COMO UM BEIJO
01/08/2024;07:40;MURILO HUFF feat. WESLEY SAFADÃO - QUEM TÁ PEGANDO
01/08/2024;08:00;MATHEUS FERNANDES feat MATHEUS E KAUAN - TRIPLEX
01/08/2024;08:00;GUSTAVO MIOTO - COM OU SEM MIM
01/08/2024;08:00;FERRUGEM feat SORRISO MAROTO - APAGUEI PARA TODOS
01/08/2024;08:00;GUSTTAVO LIMA - NUNCA MAIS LARGO VOCÊ
01/08/2024;08:00;RAFA E PIPO MARQUES - ADEUS CABARÉ
01/08/2024;08:00;HENRIQUE E JULIANO - EVENTO CANCELADO
01/08/2024;08:20;LUANZINHO ft. NATANZINHO LIMA - NÃO APAGUEI
01/08/2024;08:20;WESLEY SAFADÃO e REY VAQUEIRO - BEM VINDA AO MEU MUNDO
01/08/2024;08:20;MURILO HUFF feat GUSTAVO MIOTO - ME CAIU TÃO BEM
01/08/2024;08:20;HUGO E GUILHERME - VAZOU NA BRAQUIARA
01/08/2024;08:20;SIMONE MENDES - MEU PRA SEMPRE NÃO ERA MEU
01/08/2024;08:20;CALCINHA PRETA - SEM EXPLICAÇÃO
01/08/2024;08:40;VITORIA FREITAS - OLHA NOS MEUS OLHOS
01/08/2024;08:40;HUMBERTO e RONALDO - PRETINHA GRUILHERME e BENUTO
01/08/2024;08:40;MARILIA TAVARES - ÁGUA DE SAL
01/08/2024;08:40;JORGE & MATEUS - VOCÊ VAI SENTIR SAUDADE
01/08/2024;08:40;WESLEY SAFADÃO e REY VAQUEIRO - BEM VINDA AO MEU MUNDO
01/08/2024;08:40;MARA PAVANELLY - APAIXONADA
01/08/2024;09:00;MILANE HORA - PRIMEIRO EU SEGUNDO EU
01/08/2024;09:00;LAUANA PRADO - ESQUECA QUE EU TE AMO
01/08/2024;09:00;LUAN SANTANA - EU SOU SENTIMENTAL
01/08/2024;09:00;HENRY FREITAS - NÃO ERA VOCÊ
01/08/2024;09:00;MARÍLIA MENDONÇA - TE AMO DEMAIS
01/08/2024;09:20;MÁRCIA FELLIPE - A MULHER MAIS FODA DO BRASIL
01/08/2024;09:20;MARI FERNANDEZ - DIZEM QUE SOU LOUCA
01/08/2024;09:20;SEU DESEJO - CAMA DE SOLTEIRO
01/08/2024;09:20;PRISCILA SENNA - FLORES QUE PLANTEI
01/08/2024;09:20;SORRISO MAROTO  LUDMILLA  BELO - AINDA GOSTO DE VOCÊ-JÁ
01/08/2024;09:40;MARA PAVANELLY - NÃO PASSA DE EX
01/08/2024;09:40;MURILO HUFF - TE QUE PRA MIM - MEU DISFARCE
01/08/2024;09:40;THIAGO E SAMUEL feat SIMONE MENDES - AMOR DIFERENTE
01/08/2024;09:40;MATHEUS & KAUAN - POSE
01/08/2024;09:40;JORGE & MATEUS - TEM QUE SORRIR
01/08/2024;10:00;MATHEUS FERNANDES feat MATHEUS E KAUAN - TRIPLEX
01/08/2024;10:00;GUSTTAVO LIMA  MARI FERNANDEZ - 30 CADEADOS
01/08/2024;10:00;FERRUGEM feat SORRISO MAROTO - APAGUEI PARA TODOS
01/08/2024;10:00;ZÉ NETO e CRISTIANO - NUMA PANCADA SÓ
01/08/2024;10:00;GUSTTAVO LIMA feat BRUNO E MARRONE - RELAÇÃO ERRADA
01/08/2024;10:00;NATTAN - DADINHO
01/08/2024;10:20;LUANZINHO ft. NATANZINHO LIMA - NÃO APAGUEI
01/08/2024;10:20;MATHEUS & KAUAN  LUIZA SONZA - NÃO SIRVO
01/08/2024;10:20;MURILO HUFF feat GUSTAVO MIOTO - ME CAIU TÃO BEM
01/08/2024;10:20;HENRIQUE E JULIANO - SEM AMOR
01/08/2024;10:20;MURILO HUFF feat MARI FERNANDEZ - MALÍCIA
01/08/2024;10:20;MARCOS e BELUTTI  NADOSN - COMO UM BEIJO
01/08/2024;10:40;VITORIA FREITAS - OLHA NOS MEUS OLHOS
01/08/2024;10:40;MARÍLIA MENDONÇA - TENTATIVAS
01/08/2024;10:40;MARILIA TAVARES - ÁGUA DE SAL
01/08/2024;10:40;ANA CASTELA  ALOK  HUNGRIA - LUA
01/08/2024;10:40;NADSON O FEINHA - SETE MILHÕES
01/08/2024;10:40;WESLEY SAFADÃO e REY VAQUEIRO - BEM VINDA AO MEU MUNDO
01/08/2024;11:00;CALCINHA PRETA - SEM EXPLICAÇÃO
01/08/2024;11:00;MANU BAHTIDAO feat GUILHERME E BENUTO - TORRE EIFFEL
01/08/2024;11:00;MURILO HUFF  ERIC LAND - CURIOSA
01/08/2024;11:00;LUAN PEREIRA  MURILO HUFF - FALTA DE QUÊ
01/08/2024;11:00;GEORGE HENRIQUE E RODRIGO feat GUILHERME E BENUTO - BEI
01/08/2024;11:00;JORGE E MATEUS - 5 REGRAS
01/08/2024;11:20;LAUANA PRADO - VIVA VOZ
01/08/2024;11:20;JOÃO GOMES feat. MC RYAN SP - NÃO MANDA AUDIO
01/08/2024;11:20;GUSTAVO MIOTO - VOLTANDO PRA MIM
01/08/2024;11:20;ZÉ NETO E CRISTIANO - VAMO TOMAR UMA
01/08/2024;11:20;ISRAEL & RODOLFFO - VOLTOU COM QUEM NÃO VOLTAVA
01/08/2024;11:20;HENRIQUE e JULIANO - QUASE ALGO
01/08/2024;11:40;WALISSON MAICON - UM COPO DE WHISKY
01/08/2024;11:40;MARI FERNANDEZ - EU QUERO RECAIR
01/08/2024;11:40;MILANE HORA - SEM VOCÊ
01/08/2024;11:40;MARI FERNANDEZ feat. LUIZA SONZA - DEIXA EU VIVER
01/08/2024;11:40;MÁRCIA FELLIPE - A MULHER MAIS FODA DO BRASIL
01/08/2024;11:40;ALAN ARAÚJO - TERMINA DIREITO
01/08/2024;13:00;HENRIQUE E JULIANO - ARRANHÃO
01/08/2024;13:00;ZÉ VAQUEIRO - UM DIA
01/08/2024;13:00;ANAVITÓRIA  JORGE & MATEUS - GALERIA DO TEMPO
01/08/2024;13:00;ANA CASTELA - AQUI TEM ALGUÉM
01/08/2024;13:00;HUGO E GUILHERME feat. JORGE E MATEUS - MEU NÚMERO
01/08/2024;13:00;ZÉ NETO E CRISTIANO feat ANA CASTELA - FOI INTENSO
01/08/2024;13:00;GUSTTAVO LIMA - INVENTOR DOS AMORES
01/08/2024;13:20;MILANE HORA - PRIMEIRO EU SEGUNDO EU
01/08/2024;13:20;MARI FERNANDEZ - AMOR IMPOSSIVEL
01/08/2024;13:20;LUAN SANTANA - EU SOU SENTIMENTAL
01/08/2024;13:20;MATHEUS E KAUAN - SOLTO FOGUETE
01/08/2024;13:20;NATTAN - DADINHO
01/08/2024;13:20;RAFA E PIPO MARQUES - ADEUS CABARÉ
01/08/2024;13:20;DILSINHO  GRUPO MENOS É MAIS - FICA LIGHT
01/08/2024;13:40;MÁRCIA FELLIPE - A MULHER MAIS FODA DO BRASIL
01/08/2024;13:40;GUSTTAVO LIMA  MARI FERNANDEZ - 30 CADEADOS
01/08/2024;13:40;SEU DESEJO - CAMA DE SOLTEIRO
01/08/2024;13:40;MATHEUS & KAUAN - POSE
01/08/2024;13:40;WALISSON MAICON - UM COPO DE WHISKY
01/08/2024;13:40;MURILO HUFF - A CERVEJA ABRE SOZINHA
01/08/2024;13:40;HUGO E GUILHERME - VAZOU NA BRAQUIARA
01/08/2024;14:00;MARA PAVANELLY - NÃO PASSA DE EX
01/08/2024;14:00;JORGE E MATEUS - ENTÃO VALEU
01/08/2024;14:00;THIAGO E SAMUEL feat SIMONE MENDES - AMOR DIFERENTE
01/08/2024;14:00;HENRIQUE E JULIANO - RASTEIRA
01/08/2024;14:00;JORGE & MATEUS - PAREDES
01/08/2024;14:00;CALCINHA PRETA - SEM EXPLICAÇÃO
01/08/2024;14:20;MATHEUS FERNANDES feat MATHEUS E KAUAN - TRIPLEX
01/08/2024;14:20;GUSTTAVO LIMA - FORA DO COMUM
01/08/2024;14:20;FERRUGEM feat SORRISO MAROTO - APAGUEI PARA TODOS
01/08/2024;14:20;IGUINHO e LULINHA - BEIJINHO DE MEL
01/08/2024;14:20;JOÃO GOMES feat. MC RYAN SP - NÃO MANDA AUDIO
01/08/2024;14:40;LUANZINHO ft. NATANZINHO LIMA - NÃO APAGUEI
01/08/2024;14:40;JOÃO BOSCO & VINICIUS  GUSTAVO MIOTO - DOCINHO DE FEST
01/08/2024;14:40;MURILO HUFF feat GUSTAVO MIOTO - ME CAIU TÃO BEM
01/08/2024;14:40;WESLEY SAFADÃO e REY VAQUEIRO - BEM VINDA AO MEU MUNDO
01/08/2024;14:40;GUSTAVO MIOTO - VOLTANDO PRA MIM
01/08/2024;14:40;ZÉ NETO e CRISTIANO - NUMA PANCADA SÓ
01/08/2024;14:40;MATHEUS & KAUAN  LUIZA SONZA - NÃO SIRVO
01/08/2024;15:00;VITORIA FREITAS - OLHA NOS MEUS OLHOS
01/08/2024;15:00;GUSTTAVO LIMA  MURILO HUFF - CEP NOVO
01/08/2024;15:00;MARILIA TAVARES - ÁGUA DE SAL
01/08/2024;15:00;MARI FERNANDEZ - DIZEM QUE SOU LOUCA
01/08/2024;15:00;MAIARA e MARAISA - SURTOS
01/08/2024;15:00;MENOS É MAIS - LAPADA DELA
01/08/2024;15:20;CALCINHA PRETA - SEM EXPLICAÇÃO
01/08/2024;15:20;JORGE & MATEUS - SÓ VOCÊ E EU
01/08/2024;15:20;MANU BAHTIDAO feat GUILHERME E BENUTO - TORRE EIFFEL
01/08/2024;15:20;MURILO HUFF - PRAIA
01/08/2024;15:20;LUAN PEREIRA  MURILO HUFF - FALTA DE QUÊ
01/08/2024;15:40;LAUANA PRADO - VIVA VOZ
01/08/2024;15:40;MATHEUS E KAUAN - SOLTEIRO TAMBÉM AMAM
01/08/2024;15:40;GUSTAVO MIOTO - VOLTANDO PRA MIM
01/08/2024;15:40;ANA CASTELA - MINHA HERANÇA
01/08/2024;15:40;LUAN SANTANA - AMBIENTE ERRADO
01/08/2024;15:40;JONAS ESTICADO e MARI FERNANDEZ - SE VOCE TIVESSSE CUID
01/08/2024;16:00;WALISSON MAICON - UM COPO DE WHISKY
01/08/2024;16:00;SIMONE MENDES - DOIS TRISTES
01/08/2024;16:00;MILANE HORA - SEM VOCÊ
01/08/2024;16:00;ISRAEL E RODOLFFO - GREVE DE BEIJO
01/08/2024;16:00;WESLEY SAFADÃO - DOIS LADOS
01/08/2024;16:00;RAFA E PIPO MARQUES - ADEUS CABARÉ
01/08/2024;16:20;MARA PAVANELLY - NÃO PASSA DE EX
01/08/2024;16:20;JORGE E MATEUS - DO JEITO QUE TÁ NÃO DÁ
01/08/2024;16:20;GUATTAVO LIMA - EX DA SUA VIDA
01/08/2024;16:20;JORGE & MATEUS - PREOCUPA NÃO
01/08/2024;16:20;GUSTTAVO LIMA - TEMPO DE BEBER
01/08/2024;16:20;MATHEUS & KAUAN  WESLEY SAFADÃO - TRÉGUA
01/08/2024;16:20;MARI FERNANDEZ - VAI VIVER
01/08/2024;16:40;CALCINHA PRETA - SEM EXPLICAÇÃO
01/08/2024;16:40;HENRY FREITAS - TEM CAFÉ
01/08/2024;16:40;MANU BAHTIDAO feat GUILHERME E BENUTO - TORRE EIFFEL
01/08/2024;16:40;GUSTTAVO LIMA  MARI FERNANDEZ - 30 CADEADOS
01/08/2024;16:40;ANITTA  PEDRO SAMPAIO  DENNIS - JOGA PRA LUA
01/08/2024;16:40;MARILIA MENDONÇA - ATÉ O TEMPO PASSA
